tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
578,44:15.4,53:54.1,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,280,Main St at Baldwin St,42.380857,-71.070629,2348,Customer,1969,0
915,44:44.7,00:00.2,415,Stuart St at Berkeley St,42.34954403,-71.07242074,94,Main St at Austin St,42.375603,-71.064608,3378,Subscriber,1990,1
1375,44:53.0,07:48.0,81,Chinatown T Stop,42.352409,-71.062679,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,4823,Customer,1969,0
637,45:39.5,56:16.8,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,189,Kendall T,42.36242784,-71.08495474,2845,Customer,1985,1
543,46:53.8,55:57.1,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,189,Kendall T,42.36242784,-71.08495474,3427,Customer,1986,1
251,47:26.1,51:37.2,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,5490,Customer,1990,1
262,47:27.2,51:49.5,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,3908,Customer,1990,1
244,47:29.0,51:33.8,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,3736,Customer,1990,1
1928,51:33.5,23:41.8,54,Tremont St at West St,42.354979,-71.063348,381,Inman Square at Springfield St.,42.37438409,-71.10015746,3958,Subscriber,1985,1
670,51:45.0,02:55.4,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,205,Bowdoin St at Quincy St,42.30785224,-71.06512249,4479,Customer,1969,0
1605,51:53.0,18:39.0,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,3088,Customer,2001,1
358,53:28.1,59:26.2,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,3186,Subscriber,2000,2
1505,53:28.9,18:34.0,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,184,Customer,2001,1
1147,53:46.9,12:54.2,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,381,Inman Square at Springfield St.,42.37438409,-71.10015746,4408,Customer,1995,1
642,53:56.1,04:38.7,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,2823,Subscriber,2000,1
1012,54:00.2,10:53.2,54,Tremont St at West St,42.354979,-71.063348,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,5623,Subscriber,1985,1
338,54:05.8,59:44.0,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2708,Subscriber,2001,1
1126,54:14.8,13:01.7,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,174,Washington St at Brock St,42.34895285,-71.16031677,3130,Subscriber,1996,1
1473,54:18.6,18:52.1,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,331,Huntington Ave at Mass Art,42.33658555,-71.09886996,5080,Customer,2001,1
5697,55:54.3,30:52.3,23,Boston City Hall - 28 State St,42.35892,-71.057629,23,Boston City Hall - 28 State St,42.35892,-71.057629,2130,Customer,1969,0
35743,55:55.9,51:39.3,23,Boston City Hall - 28 State St,42.35892,-71.057629,1,18 Dorrance Warehouse,42.387151,-71.075978,2625,Customer,1969,0
454,56:49.4,04:23.7,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,179,MIT Vassar St,42.35560121,-71.10394478,4674,Subscriber,1993,1
462,57:25.1,05:07.5,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,379,Tremont St at W. Dedham St,42.34254914,-71.07421449,5051,Customer,1995,2
270,57:26.4,01:56.7,23,Boston City Hall - 28 State St,42.35892,-71.057629,23,Boston City Hall - 28 State St,42.35892,-71.057629,4668,Customer,1969,0
1830,57:39.3,28:10.1,409,Elm St at White St,42.38952436,-71.1169414,55,Boylston St at Massachusetts Ave,42.347265,-71.088088,2126,Customer,1969,0
843,57:48.4,11:51.5,409,Elm St at White St,42.38952436,-71.1169414,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,2596,Subscriber,1996,1
3940,58:34.6,04:15.6,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,3802,Customer,1969,0
949,58:49.5,14:39.2,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,195,Child St at North St,42.37150494,-71.07249312,3712,Customer,1990,1
2171,58:57.6,35:09.1,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,5,Northeastern University - North Parking Lot,42.341814,-71.090179,5235,Subscriber,1992,2
369,59:02.6,05:12.0,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,379,Tremont St at W. Dedham St,42.34254914,-71.07421449,4812,Customer,1993,1
199,59:14.5,02:33.8,6,Cambridge St at Joy St,42.36121165,-71.0653062,47,Cross St at Hanover St,42.362811,-71.056067,5418,Subscriber,1984,1
3560,59:31.6,58:51.8,369,Boston Public Market,42.36254854,-71.05737358,151,Surface Rd at India St,42.358155,-71.052163,4719,Customer,1969,0
917,01:12.3,16:29.6,390,Broadway at Lynde St,42.39648358,-71.0654676,188,Foss Park,42.39108438,-71.09039426,5016,Subscriber,1986,1
1969,01:34.7,34:24.7,33,Kenmore Square,42.348706,-71.097009,121,W Broadway at Dorchester St,42.33595898,-71.046229,2264,Customer,1992,1
969,03:43.1,19:52.8,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,6,Cambridge St at Joy St,42.36121165,-71.0653062,4856,Subscriber,1984,1
372,03:44.4,09:56.8,60,Charles Circle - Charles St at Cambridge St,42.360185,-71.07086598,189,Kendall T,42.36242784,-71.08495474,3571,Subscriber,1983,1
